"","Variable Name","Definition","Total missing values","Comments"
"1","MinorityInd","Baseline covariate underrepresented minority status (1=minority, 0=non-minority)","0/30000 ( 0.0%)",""
"2","EthnicityHispanic","Indicator ethnicity = Hispanic (0 = Non-Hispanic)","0/30000 ( 0.0%)",""
"3","EthnicityUnknown","Indicator ethnicity = Unknown (0 = Non-Hispanic)","0/30000 ( 0.0%)",""
"4","Black","Indicator race = Black (0 = White)","0/30000 ( 0.0%)",""
"5","Asian","Indicator race = Asian (0 = White)","0/30000 ( 0.0%)",""
"6","NatAmer","Indicator race = American Indian or Alaska Native (0 = White)","0/30000 ( 0.0%)",""
"7","PacIsl","Indicator race = Native Hawaiian or Other Pacific Islander (0 = White)","0/30000 ( 0.0%)",""
"8","WhiteNonHispanic","Indicator race = White or Caucasian (1 = White)","3768/30000 (12.6%)",""
"9","Multiracial","Indicator race = Multiracial (0 = White)","0/30000 ( 0.0%)",""
"10","Other","Indicator race = Other (0 = White)","0/30000 ( 0.0%)",""
"11","Unknown","Indicator race = unknown (0 = White)","0/30000 ( 0.0%)",""
"12","HighRiskInd","Baseline covariate high risk pre-existing condition (1=yes, 0=no)","0/30000 ( 0.0%)",""
"13","Sex","Sex assigned at birth (1=female, 0=male)","0/30000 ( 0.0%)",""
"14","Age","Age at enrollment in years, between 18 and 85","0/30000 ( 0.0%)",""
"15","BMI","BMI at enrollment (kg/m^2)","0/30000 ( 0.0%)",""
