"","marker","estimate","conf.low","conf.high","p.value","cases","atRisk","group","markerFormat","marker_cut","Attack rate","id","overall.pval"
"1","Day29bindSpike",0.289108104047868,0.163801566506019,0.510272872287099,1.86058586086271e-05,60,11157,"All baseline negative, vaccine","continuous",NA,NA,NA,NA
"2","Day29bindRBD",0.491459888088534,0.291657590419215,0.82813830167364,0.00762401554599188,60,11157,"All baseline negative, vaccine","continuous",NA,NA,NA,NA
"3","Day29pseudoneutid50",0.422427421880782,0.213161009631975,0.837136805952134,0.0135351146272085,60,11157,"All baseline negative, vaccine","continuous",NA,NA,NA,NA
"4","Day29pseudoneutid80",0.343234363862872,0.17885064379681,0.658705085066357,0.00130351351984633,60,11157,"All baseline negative, vaccine","continuous",NA,NA,NA,NA
"5","Lower",1,NA,NA,NA,20.3389830508475,3701.95186683101,"All baseline negative, vaccine","categorical","Lower",0.00549412412221834,1,"0.002"
"6","Day29bindSpikecat(2.14,2.65]",0.555123630791653,0.272907016534059,1.1291840326313,0.104247190704429,19.3220338983051,3705.06871407219,"All baseline negative, vaccine","categorical","Middle",0.00521502713969061,2,""
"7","Day29bindSpikecat(2.65, Inf]",0.239701579972026,0.108156770358913,0.53123671546791,0.000435090072112804,20.3389830508475,3749.9794190968,"All baseline negative, vaccine","categorical","Upper",0.00542375858045274,3,""
"8","Lower",1,NA,NA,NA,26.4406779661017,3721.90522190224,"All baseline negative, vaccine","categorical","Lower",0.00710407073519945,1,"0.001"
"9","Day29bindRBDcat(2.37,2.98]",0.310114704709777,0.150143409288432,0.640528482289113,0.00155808764745173,13.2203389830508,3740.24992321378,"All baseline negative, vaccine","categorical","Middle",0.00353461379706182,2,""
"10","Day29bindRBDcat(2.98, Inf]",0.272400301264016,0.128097540573488,0.579261114589141,0.000729224558174834,20.3389830508475,3694.84485488398,"All baseline negative, vaccine","categorical","Upper",0.00550469203705878,3,""
"11","Lower",1,NA,NA,NA,20.3389830508475,3689.70471815157,"All baseline negative, vaccine","categorical","Lower",0.00551236063709637,1,"0.047"
"12","Day29pseudoneutid50cat(1.07,1.45]",0.954529675131744,0.487164673619349,1.87026471755017,0.892133798143063,23.3898305084746,3749.0116752488,"All baseline negative, vaccine","categorical","Middle",0.00623893242661676,2,""
