"","Variable.Set.Name","Variables.included.in.the.set"
"1","1_baselineRiskFactors","Baseline risk factors only (Reference model)"
"2","2_varset_bAbSpike","Baseline risk factors + bAb anti-Spike markers"
"3","3_varset_bAbRBD","Baseline risk factors + bAb anti-RBD markers"
"4","4_varset_pnabID50","Baseline risk factors + p-nAb ID50 markers"
"5","5_varset_pnabID80","Baseline risk factors + p-nAb ID80 markers"
"6","6_varset_lnabID50","Baseline risk factors + l-nAb ID50 markers"
"7","7_varset_lnabID80","Baseline risk factors + l-nAb ID80 markers"
"8","8_varset_bAb_pnabID50","Baseline risk factors + bAb markers + p-nAb ID50 markers"
"9","9_varset_bAb_pnabID80","Baseline risk factors + bAb markers + p-nAb ID80 markers"
"10","10_varset_bAb_lnabID50","Baseline risk factors + bAb markers + l-nAb ID50 markers"
"11","11_varset_bAb_lnabID80","Baseline risk factors + bAb markers + l-nAb ID80 markers"
"12","12_varset_bAb_combScores","Baseline risk factors + bAb markers + combination scores across the six markers"
"13","13_varset_allMarkers","Baseline risk factors + all individual markers"
"14","14_varset_allMarkers_combScores","Baseline risk factors + all individual markers + all combination scores (Full model)"
