"","varset","AUCstr"
"1","3_varset_bAbSpike","0.776 [0.705, 0.846]"
"2","8_varset_bAb_pnabID50","0.772 [0.701, 0.843]"
"3","10_varset_bAb_lnabMN50","0.770 [0.698, 0.842]"
"4","9_varset_bAb_pnabID80","0.770 [0.698, 0.841]"
"5","11_varset_bAb_combScores","0.769 [0.697, 0.841]"
"6","13_varset_allMarkers_combScores","0.766 [0.694, 0.839]"
"7","12_varset_allMarkers","0.762 [0.690, 0.835]"
"8","5_varset_pnabID50","0.736 [0.663, 0.809]"
"9","7_varset_lnabMN50","0.726 [0.652, 0.800]"
"10","6_varset_pnabID80","0.724 [0.651, 0.798]"
"11","1_noisyVariables","0.713 [0.640, 0.786]"
"12","2_baselineRiskFactors","0.713 [0.643, 0.783]"
"13","4_varset_bAbRBD","0.710 [0.637, 0.783]"
