"","risk","CI_lower","thresh_est","CI_upper"
"1",0.001,6.52657984407828,6.6323971455055,6.73821444693273
"2",0.0016,6.46327397664385,6.54727749186506,6.63128100708628
"3",0.0023,6.39642101691271,6.50095338674371,6.60548575657471
"4",0.0029,6.20501244568395,6.43992688840868,6.67484133113341
"5",0.0036,6.02859412926921,6.2088428007883,6.38909147230739
"6",0.0042,5.97988508578858,6.16804005277423,6.35619501975987
"7",0.0048,5.67907396973333,6.03234263304351,6.38561129635369
"8",0.0055,5.37170445292848,5.91203747500105,6.45237049707362
"9",0.0061,4.80580829677874,5.47991094966696,6.15401360255518
"10",0.0068,4.85697568848655,5.31799593904964,5.77901618961273
"11",0.0074,4.66756182934177,5.17961298151938,5.691664133697
"12",0.008,4.27879279494789,5.00621745138704,5.7336421078262
"13",0.0087,3.88938910473966,4.75318895336904,5.61698880199842
"14",0.0093,3.61559832520025,4.52545769992125,5.43531707464226
