"","risk","CI_lower","thresh_est","CI_upper"
"1",0.001,6.49145460306601,6.6323971455055,6.77333968794499
"2",0.0016,6.43538965453182,6.54727749186506,6.65916532919831
"3",0.0023,6.36172229908137,6.50095338674371,6.64018447440605
"4",0.0029,6.12703439949796,6.43992688840868,6.75281937731939
"5",0.0036,5.96876196624998,6.2088428007883,6.44892363532662
"6",0.0042,5.91742848867369,6.16804005277423,6.41865161687476
"7",0.0048,5.56180914844713,6.03234263304351,6.50287611763988
"8",0.0055,5.19234505355618,5.91203747500105,6.63172989644592
"9",0.0061,4.58204509520068,5.47991094966696,6.37777680413324
"10",0.0068,4.70394355485479,5.31799593904964,5.93204832324449
"11",0.0074,4.49759037960473,5.17961298151938,5.86163558343404
"12",0.008,4.03732976356202,5.00621745138704,5.97510513921207
"13",0.0087,3.60265737504863,4.75318895336904,5.90372053168945
"14",0.0093,3.31357748935118,4.52545769992125,5.73733791049133
