"","risk","CI_lower","thresh_est","CI_upper"
"1",0.001,6.02464013698476,6.2378876317087,6.45113512643264
"2",0.0016,5.89670426637193,6.04622720303682,6.1957501397017
"3",0.0023,5.88309670175511,5.97242597739297,6.06175525303084
"4",0.0029,5.87093557691669,5.93911796421455,6.00730035151241
"5",0.0035,5.77407914528064,5.90580995103612,6.0375407567916
"6",0.0042,5.6370763333894,5.82475248219922,6.01242863100905
"7",0.0048,5.55828152499326,5.77311231096942,5.98794309694559
"8",0.0054,5.2330868085256,5.69256917699626,6.15205154546691
"9",0.006,4.97459289396044,5.45842013570217,5.94224737744389
"10",0.0067,4.8201110120891,5.35409219100058,5.88807336991206
"11",0.0073,4.51841548644994,5.13407531446314,5.74973514247635
"12",0.0079,4.44042908513938,5.02131321780755,5.60219735047571
"13",0.0086,4.14589509747367,4.87068414307003,5.59547318866639
"14",0.0092,3.75922715405683,4.69113989931109,5.62305264456535
"15",0.0098,3.57968291029789,4.51159565555215,5.44350840080641
