"","risk","CI_lower","thresh_est","CI_upper"
"1",0.0012,4.16510258639432,4.38979401354874,4.61448544070316
"2",0.0018,3.96206989834249,4.28713439938999,4.61219890043749
"3",0.0024,3.89124402753256,4.13343979453981,4.37563556154707
"4",0.003,3.86139832836852,4.073460275252,4.28552222213548
"5",0.0036,3.78914292011427,4.01127232435629,4.2334017285983
"6",0.0042,3.67507775194157,3.94543055154121,4.21578335114086
"7",0.0048,3.49360979651185,3.86549478782257,4.23737977913329
"8",0.0054,3.2706856370017,3.75189977310601,4.23311390921032
"9",0.006,2.69411537423876,3.62428963199487,4.55446388975097
"10",0.0065,1.36601932894438,3.06842142339899,4.7708235178536
"11",0.0071,1.67973371718321,2.69159450024976,3.7034552833163
"12",0.0077,1.3124361244322,2.47864479621902,3.64485346800585
"13",0.0083,0.295642965118217,1.9588733157499,3.62210366638159
"14",0.0089,0.174885649652404,1.59680835682228,3.01873106399215
