"","risk","CI_lower","thresh_est","CI_upper"
"1",0.0011,4.69990664838656,5.02745611322683,5.35500557806709
"2",0.0018,4.49584284221349,4.85155817339027,5.20727350456704
"3",0.0024,3.47345579236263,4.56200252957184,5.65054926678105
"4",0.003,2.6342240825139,3.93345801545627,5.23269194839863
"5",0.0036,3.11166658740558,3.37254148805797,3.63341638871036
"6",0.0043,3.09359435172731,3.29343034443333,3.49326633713936
"7",0.0049,2.8697890187236,3.19337611333982,3.51696320795603
"8",0.0055,2.66806538719353,3.06164799692903,3.45523060666454
"9",0.0062,2.66751174561879,2.90742737221251,3.14734299880623
"10",0.0068,2.58935304644752,2.85303585632451,3.11671866620149
"11",0.0074,2.22572051252819,2.73435333722009,3.242986161912
"12",0.008,1.6917859973432,2.56796177528436,3.44413755322552
"13",0.0087,1.25473780798105,2.07033233272744,2.88592685747384
"14",0.0093,1.02236986104767,1.92372157005684,2.825073279066
"15",0.0099,-0.758207894185287,1.38672315666521,3.53165420751571
