"","subgroup","Group","Visit","Arm","Baseline SARS-CoV-2","Marker","N","Responder","% Greater than 2xLLOQ","% Greater than 4xLLOQ","% Greater than 2xLLOQ"
"2","All participants","","Day 29","Vaccine","Negative","Anti RBD IgG (IU/ml)","756","11182/11182 = 100.0%
(100.0%, 100.0%)","11172.6/11182 = 99.9%
(99.4%, 100.0%)","10975.5/11182 = 98.2%
(96.1%, 99.1%)","11182/11182 = 100.0%
(100.0%, 100.0%)"
"3","All participants","","Day 29","Vaccine","Negative","Anti Spike IgG (IU/ml)","756","11182/11182 = 100.0%
(100.0%, 100.0%)","11163.2/11182 = 99.8%
(99.3%, 100.0%)","11130.7/11182 = 99.5%
(98.3%, 99.9%)","11130.7/11182 = 99.5%
(98.3%, 99.9%)"
"26","Age","Age < 65","Day 29","Vaccine","Negative","Anti RBD IgG (IU/ml)","360","8807/8807 = 100.0%
(100.0%, 100.0%)","8797.6/8807 = 99.9%
(99.2%, 100.0%)","8615.1/8807 = 97.8%
(95.2%, 99.0%)","8807/8807 = 100.0%
(100.0%, 100.0%)"
"27","Age","Age < 65","Day 29","Vaccine","Negative","Anti Spike IgG (IU/ml)","360","8807/8807 = 100.0%
(100.0%, 100.0%)","8788.2/8807 = 99.8%
(99.2%, 99.9%)","8755.7/8807 = 99.4%
(97.8%, 99.8%)","8755.7/8807 = 99.4%
(97.8%, 99.8%)"
"74","Risk for Severe Covid-19","At-risk","Day 29","Vaccine","Negative","Anti RBD IgG (IU/ml)","378","3093.8/3093.8 = 100.0%
(100.0%, 100.0%)","3084.3/3093.8 = 99.7%
(97.9%, 100.0%)","3036.2/3093.8 = 98.1%
(95.9%, 99.2%)","3093.8/3093.8 = 100.0%
(100.0%, 100.0%)"
"99","Risk for Severe Covid-19","Not at-risk","Day 29","Vaccine","Negative","Anti Spike IgG (IU/ml)","378","8088.2/8088.2 = 100.0%
(100.0%, 100.0%)","8088.2/8088.2 = 100.0%
(100.0%, 100.0%)","8055.7/8088.2 = 99.6%
(97.2%, 99.9%)","8055.7/8088.2 = 99.6%
(97.2%, 99.9%)"
"122","Age, Risk for Severe Covid-19","Age < 65 At-risk","Day 29","Vaccine","Negative","Anti RBD IgG (IU/ml)","180","1897/1897 = 100.0%
(100.0%, 100.0%)","1887.6/1897 = 99.5%
(96.5%, 99.9%)","1854.1/1897 = 97.7%
(94.1%, 99.2%)","1897/1897 = 100.0%
(100.0%, 100.0%)"
"147","Age, Risk for Severe Covid-19","Age < 65 Not at-risk","Day 29","Vaccine","Negative","Anti Spike IgG (IU/ml)","180","6910/6910 = 100.0%
(100.0%, 100.0%)","6910/6910 = 100.0%
(100.0%, 100.0%)","6877.5/6910 = 99.5%
(96.7%, 99.9%)","6877.5/6910 = 99.5%
(96.7%, 99.9%)"
"242","Sex","Female","Day 29","Vaccine","Negative","Anti RBD IgG (IU/ml)","431","6550.4/6550.4 = 100.0%
(100.0%, 100.0%)","6541/6550.4 = 99.9%
(99.0%, 100.0%)","6448/6550.4 = 98.4%
(95.5%, 99.5%)","6550.4/6550.4 = 100.0%
(100.0%, 100.0%)"
"243","Sex","Female","Day 29","Vaccine","Negative","Anti Spike IgG (IU/ml)","431","6550.4/6550.4 = 100.0%
(100.0%, 100.0%)","6541/6550.4 = 99.9%
(99.0%, 100.0%)","6508.5/6550.4 = 99.4%
(96.9%, 99.9%)","6508.5/6550.4 = 99.4%
(96.9%, 99.9%)"
