"","Learners","Weights"
"1","screen_all_plus_exposure_SL.mean_All",0
"2","screen_all_plus_exposure_SL.glm_All",0
"3","screen_all_plus_exposure_SL.bayesglm_All",0
"4","screen_all_plus_exposure_SL.glm.interaction_All",0
"5","screen_glmnet_plus_exposure_SL.glm_All",0
"6","screen_univariate_logistic_pval_plus_exposure_SL.glm_All",0
"7","screen_highcor_random_plus_exposure_SL.glm_All",0
"8","screen_glmnet_plus_exposure_SL.bayesglm_All",0
"9","screen_univariate_logistic_pval_plus_exposure_SL.bayesglm_All",0
"10","screen_highcor_random_plus_exposure_SL.bayesglm_All",0
"11","screen_glmnet_plus_exposure_SL.glm.interaction_All",0
"12","screen_univariate_logistic_pval_plus_exposure_SL.glm.interaction_All",0
"13","screen_highcor_random_plus_exposure_SL.glm.interaction_All",0
"14","screen_glmnet_plus_exposure_SL.glmnet_All",0
"15","screen_univariate_logistic_pval_plus_exposure_SL.glmnet_All",0
"16","screen_highcor_random_plus_exposure_SL.glmnet_All",0
"17","screen_glmnet_plus_exposure_SL.gam_All",0
"18","screen_univariate_logistic_pval_plus_exposure_SL.gam_All",0
"19","screen_highcor_random_plus_exposure_SL.gam_All",0
"20","screen_glmnet_plus_exposure_SL.xgboost_All",1
"21","screen_univariate_logistic_pval_plus_exposure_SL.xgboost_All",0
"22","screen_highcor_random_plus_exposure_SL.xgboost_All",0
"23","screen_glmnet_plus_exposure_SL.cforest_All",0
"24","screen_univariate_logistic_pval_plus_exposure_SL.cforest_All",0
"25","screen_highcor_random_plus_exposure_SL.cforest_All",0
